,zpid,zipcode,latitude,longitude,propertyTaxRate,garageSpaces,parkingSpaces,yearBuilt,latestPrice,numPriceChanges,latest_salemonth,latest_saleyear,numOfPhotos,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures,lotSizeSqFt,livingAreaSqFt,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories
count,15171.0,15171.0,15171.0,15171.0,15171.0,15171.0,15171.0,15171.0,15171.0,15171.0,15171.0,15171.0,15171.0,15171.0,15171.0,15171.0,15171.0,15171.0,15171.0,15171.0,15171.0,15171.0,15171.0,15171.0,15171.0,15171.0,15171.0,15171.0,15171.0,15171.0,15171.0,15171.0,15171.0,15171.0
mean,104419285.51117264,78735.93296420803,30.291595999720414,-97.77853176908246,1.9940847669896515,1.2291872651769824,1.2245072836332476,1988.554742601015,512767.7437215741,3.032891701272164,6.733043306308088,2019.0782413815832,30.640432403928546,0.012985300903038692,3.474721508140531,1.7101048052204864,0.6633709050161493,0.4668775954122998,0.002768439786434645,0.2084898820117329,0.018851756640959727,119083.9681233933,2208.3233142179156,0.9406762902906862,0.049172763825720125,1.0359897172236503,0.9767978379803572,1.8384946990040965,5.7799121173251775,1237.3046602069737,14.857227605299585,2.6830103486915826,3.4403796717421398,1.4672730868103618
std,317942556.8477805,18.893475145452204,0.09697306311659941,0.0847148975412713,0.05310203793705883,1.352117309306624,1.3527317558040584,21.579457635533135,453185.31412533764,2.4873918991966093,3.1467599076380206,0.8139411302326747,21.175173518785428,0.1794376875116869,1.8933505351804132,0.7886405504549707,0.9837786250571147,0.8244814591283991,0.06177111595703929,0.4883309731125842,0.20677522078688282,12252718.775132949,1378.5761192698842,0.23651622552121096,0.2349374197079427,0.26363285411030024,0.2920426593766595,1.068375675266224,1.86027567566066,326.5133109771509,1.7418565587134238,1.0544451351324315,0.8499417721376598,0.5236969318608632
min,28584946.0,78617.0,30.08502960205078,-98.02205657958984,1.98,0.0,0.0,1905.0,5500.0,1.0,1.0,2018.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,300.0,0.0,0.0,0.0,0.0,0.2,2.333333333333333,396.0,10.0,0.0,0.0,1.0
25%,29411153.0,78727.0,30.203312873840332,-97.83800888061523,1.98,0.0,0.0,1974.0,309000.0,1.0,4.0,2018.0,20.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6534.0,1483.0,1.0,0.0,1.0,1.0,1.1,4.0,966.0,14.0,2.0,3.0,1.0
50%,29494414.0,78739.0,30.28441619873047,-97.76953887939452,1.98,1.0,1.0,1993.0,405000.0,2.0,7.0,2019.0,29.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,8276.0,1975.0,1.0,0.0,1.0,1.0,1.5666666666666664,5.778694090331862,1287.0,15.0,3.0,3.0,1.0
75%,70337622.5,78749.0,30.36658477783203,-97.71790313720703,1.98,2.0,2.0,2006.0,575000.0,4.0,9.0,2020.0,39.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,10890.0,2687.0,1.0,0.0,1.0,1.0,2.266666666666667,7.0,1496.0,16.0,3.0,4.0,2.0
max,2146313225.0,78759.0,30.517322540283203,-97.56950378417967,2.21,22.0,22.0,2020.0,13500000.0,23.0,12.0,2021.0,179.0,8.0,12.0,6.0,8.0,6.0,2.0,4.0,8.0,1508482800.0,109292.0,2.0,2.0,3.0,2.0,9.0,9.5,1913.0,19.0,27.0,20.0,4.0
